Empresas,Frutas,Cliente,Cantidad (Kg),Año,VENTAS_Canada(KG),VENTAS_China(KG),VENTAS_EE.UU.(KG),VENTAS_España(KG),VENTAS_Francia(KG)
VirPeru,Mandarina,America Exportadores,1784,2016,3,3,4,1,2
PeruExport,Uva,Mercado Mundial,942,2013,4,4,5,3,3
America,Naranja,J&T Exportadores,2063,2018,5,3,4,2,3
FruPeru,Platano,America Exportadores,1862,2019,3,4,2,3,3
AgroLatina,ArÃ¡ndanos,America Exportadores,886,2014,1,4,5,1,3
AgroLatina,ArÃ¡ndanos,Mercado Mundial,1874,2018,5,3,5,2,3
Alfa,Palta,America Exportadores,1344,2010,3,4,4,3,3
Alfa,Platano,Exportadores Mundiales,1972,2010,5,4,5,1,2
AgroLatina,Mango,J&T Exportadores,2067,2018,5,4,4,2,2
Alfa,Mango,J&T Exportadores,1783,2016,1,3,3,1,3
AgroLatina,Platano,Europa Exportadores,1159,2010,1,3,2,1,2
America,Platano,Mercado Mundial,1091,2019,3,4,4,2,2
America,Mandarina,J&T Exportadores,1147,2020,2,4,2,2,2
Alfa,Palta,Mercado Mundial,1770,2010,3,3,4,3,3
AgroPro,Mandarina,Europa Exportadores,1587,2010,1,3,3,3,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,1274,2020,4,3,1,1,3
FruPeru,Mandarina,Europa Exportadores,2384,2020,3,4,1,2,3
AgroPro,Mandarina,Mercado Mundial,1111,2017,1,4,3,2,2
FruPeru,Palta,Europa Exportadores,2400,2011,1,3,5,3,3
Alfa,Palta,Europa Exportadores,1516,2019,2,4,5,1,2
AgroPro,Mango,Exportadores Mundiales,1603,2012,1,4,1,3,2
AgroPro,Mandarina,J&T Exportadores,1912,2016,1,4,1,2,2
PeruExport,Platano,Europa Exportadores,1255,2020,4,4,2,1,3
AgroLatina,Naranja,Europa Exportadores,1139,2020,1,3,5,1,2
VirPeru,Naranja,America Exportadores,1646,2015,5,4,2,2,2
PeruExport,Platano,Mercado Mundial,2362,2015,5,3,5,3,3
Alfa,Palta,Europa Exportadores,2046,2011,2,4,5,3,3
AgroPro,Platano,America Exportadores,2144,2020,4,3,5,2,2
PeruExport,Platano,Europa Exportadores,2184,2020,3,4,1,3,3
AgroPro,ArÃ¡ndanos,Mercado Mundial,2332,2019,3,4,1,2,3
VirPeru,Uva,America Exportadores,1039,2017,2,4,1,2,3
AgroLatina,Platano,Europa Exportadores,1897,2016,1,4,1,1,2
PeruExport,Palta,Exportadores Mundiales,2072,2011,3,4,2,2,3
AgroLatina,ArÃ¡ndanos,Exportadores Mundiales,1048,2011,1,3,1,1,3
AgroPro,Mandarina,Europa Exportadores,1161,2016,3,3,1,1,2
America,Mango,J&T Exportadores,1311,2013,5,3,4,3,3
FruPeru,Mango,J&T Exportadores,996,2012,5,4,2,3,2
AgroPro,Mango,Europa Exportadores,2050,2019,1,4,1,2,3
Alfa,Mango,J&T Exportadores,2267,2019,3,3,5,3,3
VirPeru,Naranja,Mercado Mundial,2216,2016,5,4,2,1,2
AgroLatina,Mandarina,America Exportadores,1617,2010,5,3,3,1,3
AgroPro,ArÃ¡ndanos,Mercado Mundial,1519,2011,5,3,5,2,2
AgroPro,Naranja,Mercado Mundial,2008,2016,5,3,3,3,3
VirPeru,Naranja,Mercado Mundial,1192,2014,1,3,4,3,2
VirPeru,Mandarina,Europa Exportadores,1646,2011,1,3,3,2,3
America,Platano,J&T Exportadores,893,2012,3,4,3,2,2
AgroLatina,ArÃ¡ndanos,J&T Exportadores,926,2011,5,4,2,1,2
AgroPro,Palta,J&T Exportadores,1582,2010,3,3,4,2,2
VirPeru,Palta,Europa Exportadores,2065,2020,2,4,3,3,3
America,Mango,Europa Exportadores,1621,2020,4,4,5,3,2
PeruExport,Mango,America Exportadores,1227,2014,2,3,3,1,3
VirPeru,ArÃ¡ndanos,America Exportadores,819,2017,3,4,4,2,2
AgroLatina,Uva,America Exportadores,893,2014,5,3,3,1,2
PeruExport,Mango,Mercado Mundial,1213,2016,1,4,5,3,2
VirPeru,Naranja,Mercado Mundial,1469,2013,3,4,1,2,3
PeruExport,Mango,Mercado Mundial,1640,2010,5,4,2,2,3
PeruExport,Platano,Europa Exportadores,1562,2017,4,4,4,2,3
VirPeru,Palta,Exportadores Mundiales,1799,2010,1,3,5,3,3
VirPeru,Naranja,Exportadores Mundiales,2092,2016,3,3,3,2,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,1180,2019,3,4,1,1,2
PeruExport,Naranja,J&T Exportadores,1234,2011,5,4,3,1,3
AgroPro,Naranja,J&T Exportadores,1041,2014,2,3,5,2,3
America,Platano,Exportadores Mundiales,935,2020,2,3,4,1,3
AgroPro,Palta,Europa Exportadores,1798,2014,3,3,4,3,3
AgroPro,ArÃ¡ndanos,Europa Exportadores,1814,2016,5,4,4,3,3
AgroLatina,Mandarina,Exportadores Mundiales,2028,2011,1,4,2,3,3
AgroPro,Uva,Mercado Mundial,1470,2016,2,4,2,3,3
AgroPro,Naranja,America Exportadores,1812,2019,5,4,3,1,3
Alfa,Naranja,Mercado Mundial,1420,2015,2,3,5,2,2
AgroPro,Uva,Exportadores Mundiales,1109,2015,4,3,2,1,2
AgroPro,Platano,Europa Exportadores,1162,2016,3,3,5,2,3
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1406,2017,1,3,5,2,2
VirPeru,Platano,J&T Exportadores,2111,2011,5,3,2,1,2
FruPeru,Mandarina,Exportadores Mundiales,1997,2016,2,4,5,2,2
FruPeru,Mandarina,Mercado Mundial,1452,2015,1,4,3,1,2
AgroLatina,Uva,Exportadores Mundiales,886,2010,1,4,2,1,2
PeruExport,Mandarina,Mercado Mundial,1098,2012,3,4,3,3,2
VirPeru,Naranja,J&T Exportadores,883,2014,1,4,5,2,3
America,Mandarina,Europa Exportadores,2129,2014,3,3,2,1,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,876,2014,5,4,3,1,3
FruPeru,Mandarina,Exportadores Mundiales,1870,2017,1,3,2,3,3
VirPeru,Uva,America Exportadores,1308,2015,3,3,3,3,3
AgroPro,Mandarina,J&T Exportadores,2357,2017,4,4,2,2,3
VirPeru,ArÃ¡ndanos,America Exportadores,1772,2012,4,4,4,2,3
AgroPro,Naranja,J&T Exportadores,2069,2013,3,4,3,3,2
America,ArÃ¡ndanos,Exportadores Mundiales,1741,2012,4,4,1,3,3
Alfa,Naranja,America Exportadores,2168,2017,4,3,1,1,3
AgroPro,ArÃ¡ndanos,America Exportadores,2107,2017,1,4,3,1,2
AgroPro,Platano,J&T Exportadores,1488,2020,5,4,4,1,3
AgroPro,Palta,Exportadores Mundiales,2007,2015,5,4,2,2,3
VirPeru,Mandarina,Mercado Mundial,1414,2018,3,4,4,3,3
VirPeru,ArÃ¡ndanos,Europa Exportadores,2009,2018,4,3,1,3,2
PeruExport,Platano,America Exportadores,1273,2011,5,4,2,1,3
Alfa,ArÃ¡ndanos,America Exportadores,1236,2019,3,3,4,3,3
America,Mango,America Exportadores,995,2020,1,3,2,2,2
America,Mango,America Exportadores,2027,2020,5,4,2,1,2
FruPeru,Uva,J&T Exportadores,1346,2017,1,3,4,3,2
AgroLatina,ArÃ¡ndanos,Mercado Mundial,1949,2015,5,4,3,3,2
FruPeru,Mandarina,Mercado Mundial,2342,2019,3,3,2,3,3
America,Uva,America Exportadores,1784,2020,5,4,2,3,2
Alfa,Mandarina,Mercado Mundial,1661,2015,1,4,1,1,3
AgroLatina,Naranja,Europa Exportadores,873,2013,3,3,1,3,2
America,Platano,J&T Exportadores,1570,2019,1,4,4,2,3
AgroPro,Palta,Exportadores Mundiales,1434,2013,5,4,1,2,3
FruPeru,Naranja,America Exportadores,1640,2015,4,4,4,2,3
America,Platano,Mercado Mundial,1175,2012,3,3,5,2,2
VirPeru,Mandarina,Mercado Mundial,1827,2020,5,4,1,1,2
America,Naranja,Mercado Mundial,1998,2011,2,3,2,2,2
PeruExport,Uva,Mercado Mundial,1105,2015,3,3,2,1,3
VirPeru,ArÃ¡ndanos,Europa Exportadores,1059,2017,2,4,5,2,3
AgroLatina,Mango,Mercado Mundial,1605,2019,4,3,4,1,3
America,Platano,Mercado Mundial,2386,2019,1,3,4,1,3
PeruExport,Mango,J&T Exportadores,1549,2014,3,3,1,3,3
AgroPro,Mango,Mercado Mundial,2212,2011,5,3,2,2,3
AgroPro,Mandarina,Europa Exportadores,1022,2013,5,4,1,3,3
FruPeru,Uva,Europa Exportadores,2288,2011,5,3,5,2,3
FruPeru,Mango,J&T Exportadores,1628,2010,5,3,1,3,2
AgroLatina,ArÃ¡ndanos,J&T Exportadores,2118,2019,2,4,5,3,3
AgroPro,Mango,J&T Exportadores,1534,2018,5,4,5,2,2
AgroPro,Uva,Europa Exportadores,1824,2018,3,3,4,3,2
Alfa,Mango,Mercado Mundial,1175,2020,2,4,2,3,3
AgroPro,Uva,J&T Exportadores,1853,2018,1,4,4,1,3
America,ArÃ¡ndanos,Exportadores Mundiales,2039,2020,4,3,5,1,3
AgroPro,Mango,J&T Exportadores,1277,2017,2,3,5,3,3
America,Palta,J&T Exportadores,1458,2017,5,3,3,1,3
Alfa,ArÃ¡ndanos,Exportadores Mundiales,2026,2015,4,3,2,2,2
FruPeru,Platano,J&T Exportadores,2376,2010,4,3,3,2,2
AgroPro,Uva,Europa Exportadores,2313,2017,2,3,4,1,3
Alfa,Uva,Europa Exportadores,1405,2017,4,3,2,2,2
America,Mango,J&T Exportadores,969,2017,5,4,3,2,2
FruPeru,ArÃ¡ndanos,Mercado Mundial,1265,2018,2,3,5,1,2
PeruExport,Platano,Exportadores Mundiales,1271,2015,2,3,3,3,3
Alfa,Platano,Mercado Mundial,2186,2010,4,4,1,3,3
AgroLatina,Mango,J&T Exportadores,1332,2010,1,3,4,2,3
Alfa,Uva,Mercado Mundial,1347,2013,3,3,2,2,2
AgroPro,ArÃ¡ndanos,America Exportadores,1370,2012,5,3,2,1,3
AgroPro,Palta,America Exportadores,2201,2019,3,3,4,3,3
PeruExport,Uva,Exportadores Mundiales,1432,2011,1,4,4,3,2
VirPeru,Palta,J&T Exportadores,1964,2020,1,3,4,1,2
VirPeru,Uva,Exportadores Mundiales,1045,2020,5,3,3,3,3
AgroPro,Mandarina,Mercado Mundial,987,2011,4,4,5,1,2
America,Palta,America Exportadores,2175,2013,5,3,2,3,3
PeruExport,Uva,Mercado Mundial,971,2018,2,4,1,3,2
America,Mandarina,Mercado Mundial,869,2020,1,3,4,1,2
AgroPro,Uva,Exportadores Mundiales,827,2020,4,3,2,2,2
FruPeru,Mango,Exportadores Mundiales,1916,2019,3,4,2,1,2
VirPeru,Mandarina,Exportadores Mundiales,1343,2012,5,4,1,2,3
VirPeru,ArÃ¡ndanos,J&T Exportadores,996,2018,4,4,5,2,2
PeruExport,Platano,Europa Exportadores,2229,2011,2,4,2,2,2
AgroLatina,Mandarina,Europa Exportadores,2320,2011,4,3,1,3,3
AgroPro,Mango,Exportadores Mundiales,1793,2013,1,4,2,2,3
AgroLatina,Naranja,America Exportadores,1961,2020,2,4,3,1,2
VirPeru,Naranja,America Exportadores,1018,2013,3,3,4,3,2
Alfa,Platano,Mercado Mundial,1396,2019,5,4,2,2,3
VirPeru,Palta,Exportadores Mundiales,2347,2018,4,4,2,3,2
FruPeru,Platano,J&T Exportadores,1025,2020,5,3,5,2,2
VirPeru,Mandarina,America Exportadores,2346,2014,5,3,1,1,2
Alfa,Platano,America Exportadores,2172,2020,2,4,3,3,3
AgroLatina,Uva,Mercado Mundial,2213,2019,5,3,3,3,3
AgroPro,Palta,Exportadores Mundiales,1115,2010,2,3,4,3,2
FruPeru,Naranja,J&T Exportadores,1522,2015,4,3,2,1,2
VirPeru,Mango,Mercado Mundial,1500,2017,1,3,3,1,2
PeruExport,Mandarina,America Exportadores,1163,2017,5,3,4,1,2
AgroPro,Mango,Mercado Mundial,2362,2010,2,4,5,3,2
FruPeru,Uva,J&T Exportadores,1329,2013,4,4,5,1,2
VirPeru,Naranja,Mercado Mundial,1161,2017,4,3,2,3,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,1222,2017,1,3,4,2,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,1655,2017,3,3,3,3,2
FruPeru,ArÃ¡ndanos,Mercado Mundial,2182,2013,1,3,2,3,2
AgroPro,Mandarina,Exportadores Mundiales,1350,2019,1,3,4,1,2
America,ArÃ¡ndanos,Mercado Mundial,1537,2014,2,4,3,1,2
Alfa,Uva,J&T Exportadores,1948,2011,4,3,5,2,3
AgroPro,Mandarina,Europa Exportadores,1208,2016,1,4,2,2,3
AgroLatina,Platano,Mercado Mundial,2039,2017,1,4,4,3,3
AgroPro,Mandarina,America Exportadores,1815,2010,2,3,2,3,2
AgroPro,ArÃ¡ndanos,Europa Exportadores,1467,2020,1,4,2,2,3
AgroPro,Uva,Europa Exportadores,2055,2020,2,4,1,2,2
America,ArÃ¡ndanos,America Exportadores,2107,2016,4,4,2,1,2
FruPeru,Palta,J&T Exportadores,946,2016,5,3,5,1,2
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,2209,2019,3,4,5,2,2
AgroLatina,ArÃ¡ndanos,Europa Exportadores,2029,2015,4,3,3,2,2
PeruExport,Mango,Exportadores Mundiales,1093,2018,4,3,4,1,2
AgroPro,Naranja,Exportadores Mundiales,2337,2011,4,3,3,2,2
AgroLatina,Palta,America Exportadores,1619,2017,5,4,3,1,3
Alfa,Uva,America Exportadores,2072,2019,1,3,4,1,2
AgroPro,Mandarina,Europa Exportadores,1303,2013,3,4,5,2,3
PeruExport,Mandarina,Exportadores Mundiales,962,2015,4,3,3,2,2
America,ArÃ¡ndanos,Mercado Mundial,2341,2010,2,3,2,2,3
FruPeru,ArÃ¡ndanos,America Exportadores,901,2010,3,4,4,1,2
Alfa,Platano,J&T Exportadores,945,2019,1,4,5,1,3
AgroLatina,Uva,Exportadores Mundiales,2194,2019,2,4,3,3,2
AgroPro,Mango,Mercado Mundial,1380,2016,3,4,5,2,2
America,Palta,America Exportadores,1254,2016,4,3,2,3,2
VirPeru,Naranja,Europa Exportadores,960,2016,4,3,3,1,2
AgroPro,Uva,Europa Exportadores,2268,2017,1,3,3,2,2
America,Mandarina,America Exportadores,2080,2011,2,3,5,3,3
Alfa,Mango,America Exportadores,2296,2012,2,3,4,1,3
America,Naranja,Mercado Mundial,858,2015,3,4,2,3,2
FruPeru,Naranja,Exportadores Mundiales,2041,2016,1,4,1,1,3
AgroLatina,Uva,Exportadores Mundiales,1682,2017,1,3,1,1,3
America,Palta,Exportadores Mundiales,1216,2016,4,3,3,3,2
PeruExport,Palta,Europa Exportadores,1076,2018,4,3,4,2,2
AgroLatina,Platano,J&T Exportadores,1899,2013,3,4,1,2,2
Alfa,Mango,Mercado Mundial,833,2011,5,4,2,1,3
AgroLatina,Platano,Exportadores Mundiales,1820,2014,3,3,3,1,2
Alfa,Palta,Europa Exportadores,1423,2019,5,3,1,2,2
VirPeru,Naranja,J&T Exportadores,1388,2015,5,3,3,1,3
Alfa,Palta,Europa Exportadores,1642,2013,1,4,2,2,3
FruPeru,ArÃ¡ndanos,J&T Exportadores,1858,2011,4,3,4,2,3
AgroPro,Mandarina,Mercado Mundial,2081,2019,2,3,1,2,3
PeruExport,Uva,Europa Exportadores,1954,2012,1,3,4,3,2
PeruExport,Naranja,Europa Exportadores,2374,2013,3,4,2,3,2
PeruExport,Mandarina,Mercado Mundial,2175,2010,4,4,5,3,3
America,Platano,J&T Exportadores,2368,2019,3,3,3,1,2
AgroLatina,Mango,Exportadores Mundiales,1745,2010,2,4,5,3,3
America,Mango,Mercado Mundial,2112,2010,3,3,2,3,3
PeruExport,Uva,Mercado Mundial,1700,2019,5,3,1,2,2
AgroLatina,ArÃ¡ndanos,Europa Exportadores,1151,2017,4,4,4,1,3
VirPeru,Platano,Exportadores Mundiales,2247,2014,4,3,4,2,3
AgroPro,ArÃ¡ndanos,America Exportadores,2094,2019,5,3,3,2,2
FruPeru,Mango,Exportadores Mundiales,2157,2014,4,3,4,1,2
AgroPro,Mango,Europa Exportadores,2045,2014,4,3,1,1,2
VirPeru,Mandarina,Exportadores Mundiales,1248,2020,2,3,4,2,2
AgroLatina,Palta,J&T Exportadores,2270,2011,1,4,4,2,2
VirPeru,Mandarina,Mercado Mundial,1046,2016,1,4,4,3,2
AgroLatina,Mandarina,J&T Exportadores,1410,2010,3,3,3,2,3
Alfa,Palta,Exportadores Mundiales,1875,2019,3,4,1,1,3
AgroPro,Mandarina,Europa Exportadores,1917,2013,1,4,5,1,3
Alfa,Mango,Mercado Mundial,2222,2012,5,4,4,2,3
FruPeru,Mango,Mercado Mundial,2112,2016,5,3,3,2,3
AgroLatina,ArÃ¡ndanos,Europa Exportadores,822,2014,5,3,1,3,3
AgroLatina,Mandarina,Exportadores Mundiales,2185,2010,4,4,4,1,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,2114,2010,5,4,3,3,2
VirPeru,Platano,Europa Exportadores,1045,2011,3,3,2,3,2
FruPeru,Naranja,J&T Exportadores,1603,2012,4,4,4,2,3
AgroLatina,Uva,Europa Exportadores,1979,2014,5,4,1,1,2
FruPeru,Platano,Europa Exportadores,1026,2011,2,3,5,3,3
AgroPro,Platano,Exportadores Mundiales,918,2011,1,4,2,2,2
AgroPro,Palta,America Exportadores,1978,2011,5,4,1,3,3
Alfa,Mango,Mercado Mundial,2387,2010,1,4,2,1,3
America,Platano,J&T Exportadores,1147,2013,5,4,2,2,2
AgroLatina,ArÃ¡ndanos,Mercado Mundial,1098,2011,3,4,2,3,2
AgroLatina,Palta,Mercado Mundial,1757,2012,2,4,4,3,3
AgroLatina,Platano,J&T Exportadores,1920,2013,5,3,2,1,2
FruPeru,Palta,Europa Exportadores,2319,2011,5,4,3,3,3
AgroLatina,Mango,Exportadores Mundiales,1551,2013,5,3,3,2,2
Alfa,Palta,Exportadores Mundiales,1881,2015,4,3,2,1,2
America,ArÃ¡ndanos,America Exportadores,1386,2020,1,3,4,2,3
PeruExport,Platano,J&T Exportadores,2200,2017,3,4,4,3,2
VirPeru,Mango,Exportadores Mundiales,946,2010,4,4,3,2,2
FruPeru,Naranja,J&T Exportadores,825,2011,2,4,5,3,2
PeruExport,Mandarina,America Exportadores,2040,2019,4,3,4,1,3
FruPeru,Mandarina,Europa Exportadores,2100,2012,1,4,5,1,2
PeruExport,Mango,Exportadores Mundiales,2381,2019,1,3,5,2,2
AgroPro,Platano,Europa Exportadores,1315,2018,1,4,2,2,2
AgroPro,Naranja,Exportadores Mundiales,1194,2020,5,4,4,1,2
FruPeru,Palta,J&T Exportadores,1339,2015,1,3,3,3,3
Alfa,ArÃ¡ndanos,Europa Exportadores,2313,2013,1,4,5,3,2
PeruExport,Platano,Exportadores Mundiales,1911,2013,5,4,5,1,3
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,1463,2010,1,4,5,2,2
Alfa,ArÃ¡ndanos,Exportadores Mundiales,1899,2011,1,3,4,3,2
AgroPro,Naranja,America Exportadores,1212,2019,3,3,2,3,3
Alfa,Mango,America Exportadores,1852,2016,3,4,1,2,3
PeruExport,Naranja,America Exportadores,2093,2016,1,3,1,1,2
America,Platano,J&T Exportadores,2325,2016,1,3,3,1,2
AgroLatina,Uva,America Exportadores,1802,2016,4,3,1,2,3
FruPeru,Naranja,J&T Exportadores,2026,2010,3,3,4,3,3
Alfa,Palta,Mercado Mundial,1181,2017,3,4,1,3,3
America,Platano,Exportadores Mundiales,1487,2018,4,3,1,3,3
FruPeru,Uva,J&T Exportadores,999,2018,3,4,4,1,3
Alfa,Mango,Mercado Mundial,1243,2012,4,3,5,3,2
PeruExport,Mango,Europa Exportadores,1358,2020,5,3,5,2,3
AgroPro,Naranja,Mercado Mundial,918,2012,4,3,1,3,2
VirPeru,Mango,Mercado Mundial,1302,2017,3,3,2,1,3
Alfa,Platano,Europa Exportadores,1301,2011,4,3,3,2,2
VirPeru,Uva,Europa Exportadores,1222,2016,3,3,1,1,3
VirPeru,Mango,Europa Exportadores,2181,2011,4,3,5,3,2
Alfa,ArÃ¡ndanos,Mercado Mundial,1966,2019,4,4,2,2,3
VirPeru,Mandarina,America Exportadores,1378,2017,3,4,4,3,2
AgroLatina,ArÃ¡ndanos,America Exportadores,1692,2014,4,4,2,2,3
VirPeru,Palta,Europa Exportadores,1919,2010,3,4,1,3,3
VirPeru,Mango,Europa Exportadores,1828,2019,4,4,1,1,2
VirPeru,Palta,Exportadores Mundiales,1295,2015,3,4,3,2,3
Alfa,Uva,Mercado Mundial,827,2019,3,3,2,1,3
Alfa,Uva,J&T Exportadores,1635,2011,3,3,3,3,3
AgroLatina,Uva,Europa Exportadores,1224,2016,3,3,2,2,3
America,Mandarina,J&T Exportadores,1683,2015,4,4,2,2,3
AgroPro,Naranja,America Exportadores,1532,2018,4,3,1,1,2
PeruExport,Mandarina,Exportadores Mundiales,1405,2018,2,3,3,3,3
AgroPro,Mango,America Exportadores,1891,2018,5,4,3,3,3
Alfa,Mandarina,Mercado Mundial,1191,2014,4,4,2,1,3
VirPeru,Mandarina,J&T Exportadores,1251,2014,3,3,2,3,2
AgroLatina,Mandarina,Exportadores Mundiales,1852,2016,3,3,4,1,2
Alfa,Platano,Mercado Mundial,1735,2019,5,3,3,1,2
AgroPro,Platano,Exportadores Mundiales,1561,2011,3,4,4,2,3
PeruExport,Naranja,Europa Exportadores,895,2012,1,3,5,1,2
AgroLatina,ArÃ¡ndanos,J&T Exportadores,2138,2015,3,4,3,3,2
FruPeru,Palta,Exportadores Mundiales,1878,2014,2,3,4,2,3
VirPeru,Palta,America Exportadores,2234,2015,3,3,4,3,2
AgroLatina,Uva,Mercado Mundial,912,2016,2,3,1,3,3
Alfa,Mandarina,America Exportadores,1665,2015,3,3,3,1,3
FruPeru,Mango,Exportadores Mundiales,1559,2015,3,3,1,2,2
AgroLatina,Mango,J&T Exportadores,1107,2018,1,4,4,3,3
VirPeru,Uva,J&T Exportadores,1033,2011,3,4,1,1,2
PeruExport,Uva,America Exportadores,1947,2017,5,4,5,1,3
FruPeru,Mango,J&T Exportadores,1405,2015,1,3,5,1,3
AgroLatina,ArÃ¡ndanos,Europa Exportadores,1621,2020,4,4,4,1,2
AgroPro,Naranja,J&T Exportadores,2388,2014,1,4,3,2,3
PeruExport,Platano,J&T Exportadores,2197,2013,2,4,2,3,2
PeruExport,Uva,Exportadores Mundiales,1415,2010,2,3,5,1,3
America,Uva,Mercado Mundial,1032,2017,3,3,5,3,3
Alfa,ArÃ¡ndanos,Mercado Mundial,1835,2012,2,4,5,2,2
PeruExport,Uva,Europa Exportadores,889,2019,4,4,3,2,2
FruPeru,Mandarina,Exportadores Mundiales,1778,2014,2,3,2,3,3
FruPeru,Platano,Exportadores Mundiales,1262,2010,3,3,5,3,2
Alfa,Naranja,Exportadores Mundiales,2334,2020,5,3,4,1,3
Alfa,ArÃ¡ndanos,J&T Exportadores,1936,2012,1,4,2,2,3
AgroLatina,Palta,Exportadores Mundiales,1266,2012,3,3,4,2,2
VirPeru,Uva,Mercado Mundial,2178,2016,5,4,2,2,2
FruPeru,Platano,Exportadores Mundiales,1411,2012,1,3,5,2,3
America,Mandarina,Europa Exportadores,1351,2015,4,3,4,3,2
VirPeru,Mandarina,Europa Exportadores,1410,2014,5,3,1,1,3
PeruExport,Naranja,Europa Exportadores,1690,2018,5,3,1,2,3
FruPeru,ArÃ¡ndanos,Europa Exportadores,1033,2011,1,4,3,1,3
FruPeru,Mango,America Exportadores,1785,2017,1,3,1,1,3
PeruExport,Uva,Europa Exportadores,2283,2014,4,3,4,3,3
FruPeru,Naranja,J&T Exportadores,2033,2018,3,3,5,3,3
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1823,2011,4,4,4,2,2
PeruExport,Mandarina,Mercado Mundial,1959,2011,1,3,5,2,2
Alfa,Naranja,Exportadores Mundiales,2209,2012,2,4,5,3,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,825,2018,3,3,3,2,3
America,Mango,Mercado Mundial,1462,2011,4,4,3,2,3
VirPeru,Naranja,America Exportadores,2111,2020,4,3,4,1,3
VirPeru,Mango,Mercado Mundial,1152,2015,3,3,1,3,2
America,Naranja,Europa Exportadores,930,2015,1,4,1,2,2
Alfa,Mango,Europa Exportadores,2236,2018,3,4,5,3,3
Alfa,Platano,Europa Exportadores,933,2018,1,3,2,3,2
PeruExport,Palta,Exportadores Mundiales,2170,2011,3,4,3,2,3
AgroPro,ArÃ¡ndanos,J&T Exportadores,1811,2020,3,4,3,1,3
Alfa,Naranja,Exportadores Mundiales,1776,2016,5,3,3,1,2
FruPeru,Mango,J&T Exportadores,1616,2014,3,3,4,3,2
FruPeru,Naranja,Mercado Mundial,1652,2017,2,4,5,2,2
AgroLatina,Palta,Exportadores Mundiales,1788,2016,4,4,2,2,2
AgroPro,Mango,America Exportadores,1049,2018,5,4,4,1,2
AgroLatina,Platano,America Exportadores,2324,2018,4,3,3,1,3
AgroLatina,Mango,Mercado Mundial,2246,2020,1,4,1,2,2
AgroLatina,ArÃ¡ndanos,America Exportadores,2246,2010,5,3,4,2,3
VirPeru,Palta,J&T Exportadores,1263,2015,2,4,1,1,3
FruPeru,Uva,J&T Exportadores,1437,2019,4,4,4,1,3
FruPeru,Uva,Exportadores Mundiales,1349,2011,1,4,3,2,2
AgroLatina,Mango,Mercado Mundial,2378,2020,2,3,1,1,2
Alfa,Uva,Mercado Mundial,2099,2010,2,3,2,2,2
FruPeru,Palta,Mercado Mundial,1484,2019,4,4,1,1,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,2398,2013,4,4,3,3,2
AgroLatina,Mango,Europa Exportadores,1791,2016,1,4,2,2,2
VirPeru,Naranja,Mercado Mundial,2393,2015,3,4,5,1,2
FruPeru,Naranja,Mercado Mundial,1466,2016,4,4,4,3,3
PeruExport,Palta,Exportadores Mundiales,2236,2020,3,4,1,1,3
AgroLatina,Platano,J&T Exportadores,1930,2013,4,3,1,3,3
PeruExport,Mandarina,Exportadores Mundiales,2156,2013,1,3,5,1,3
Alfa,Uva,America Exportadores,2022,2018,1,4,2,1,3
FruPeru,Palta,Europa Exportadores,1836,2018,5,3,4,1,3
FruPeru,Mango,America Exportadores,1468,2012,3,3,1,2,3
PeruExport,Mango,Europa Exportadores,1466,2012,2,4,1,2,2
AgroLatina,Mandarina,America Exportadores,1168,2012,1,3,3,1,2
FruPeru,Mango,Exportadores Mundiales,1001,2014,2,4,3,1,3
PeruExport,Mango,Exportadores Mundiales,2276,2020,1,4,3,3,2
AgroPro,Mango,America Exportadores,1745,2015,5,3,5,1,3
VirPeru,ArÃ¡ndanos,Mercado Mundial,1422,2017,5,3,2,2,3
Alfa,Platano,America Exportadores,1560,2019,2,4,2,2,3
Alfa,ArÃ¡ndanos,J&T Exportadores,1770,2017,3,3,3,2,3
AgroPro,Platano,America Exportadores,827,2012,5,4,5,1,3
America,ArÃ¡ndanos,Europa Exportadores,2344,2019,4,3,1,2,3
AgroPro,Uva,America Exportadores,1013,2012,3,4,1,1,2
America,ArÃ¡ndanos,Exportadores Mundiales,1734,2011,1,3,3,1,2
AgroPro,ArÃ¡ndanos,Europa Exportadores,1486,2012,1,3,3,1,3
America,Mandarina,Mercado Mundial,1147,2020,2,3,5,2,3
FruPeru,Naranja,America Exportadores,1792,2012,2,3,2,3,3
America,Mandarina,America Exportadores,1805,2016,1,4,1,2,2
VirPeru,Naranja,J&T Exportadores,1700,2015,4,4,1,2,3
VirPeru,Platano,Europa Exportadores,2211,2014,4,4,3,2,2
AgroLatina,Mandarina,Mercado Mundial,1663,2010,4,4,2,2,3
America,Mango,Mercado Mundial,1956,2020,1,4,3,3,3
